file,video_emotion,video_confidence
1001_IOM_FEA_XX.flv,fear,0.323
1001_ITH_NEU_XX.flv,sad,0.438
1001_DFA_DIS_XX.flv,sad,0.39
1001_ITS_ANG_XX.flv,sad,0.39
1001_ITH_SAD_XX.flv,sad,0.588
1001_ITH_ANG_XX.flv,sad,0.397
1001_DFA_FEA_XX.flv,sad,0.43
1001_IEO_ANG_MD.flv,fear,0.51
1001_DFA_ANG_XX.flv,fear,0.375
1001_IEO_ANG_LO.flv,fear,0.492
1001_IOM_NEU_XX.flv,sad,0.643
1001_ITH_DIS_XX.flv,fear,0.363
1001_ITH_FEA_XX.flv,fear,0.437
1001_IOM_DIS_XX.flv,sad,0.375
1001_ITH_HAP_XX.flv,happy,0.52
1001_IEO_DIS_HI.flv,fear,0.325
1001_DFA_HAP_XX.flv,sad,0.352
1001_IEO_SAD_MD.flv,fear,0.388
1001_IEO_DIS_LO.flv,angry,0.332
1001_IEO_HAP_MD.flv,sad,0.318
1001_IOM_ANG_XX.flv,fear,0.55
1001_DFA_SAD_XX.flv,sad,0.413
1001_IEO_HAP_LO.flv,sad,0.4
1001_IEO_FEA_MD.flv,fear,0.39
1001_IEO_SAD_LO.flv,fear,0.537
1001_DFA_NEU_XX.flv,sad,0.517
1001_IOM_HAP_XX.flv,happy,0.512
1001_IOM_SAD_XX.flv,sad,0.482
1001_IEO_HAP_HI.flv,happy,0.817
1001_IEO_SAD_HI.flv,fear,0.42
1001_IEO_DIS_MD.flv,angry,0.345
1001_IEO_ANG_HI.flv,fear,0.375
1001_IEO_NEU_XX.flv,sad,0.455
1001_IEO_FEA_HI.flv,fear,0.398
1001_IEO_FEA_LO.flv,fear,0.398
1002_ITH_DIS_XX.flv,neutral,0.683
1002_IEO_DIS_HI.flv,neutral,0.55
1002_ITH_FEA_XX.flv,surprise,0.495
1001_IWL_ANG_XX.flv,fear,0.478
1001_TIE_SAD_XX.flv,sad,0.462
1002_IOM_ANG_XX.flv,neutral,0.615
1002_IWL_FEA_XX.flv,surprise,0.928
1002_IEO_HAP_LO.flv,neutral,0.76
1002_ITH_ANG_XX.flv,neutral,0.432
1002_IEO_ANG_HI.flv,neutral,0.727
1002_IEO_FEA_HI.flv,neutral,0.623
1001_TIE_ANG_XX.flv,sad,0.465
1001_MTI_ANG_XX.flv,fear,0.5
1002_IWL_HAP_XX.flv,neutral,0.663
1001_MTI_DIS_XX.flv,sad,0.343
1002_IWL_DIS_XX.flv,happy,0.697
1002_ITS_DIS_XX.flv,neutral,0.65
1002_IEO_DIS_LO.flv,neutral,0.687
1002_IOM_FEA_XX.flv,neutral,0.615
1002_IOM_DIS_XX.flv,happy,0.362
1002_IEO_ANG_MD.flv,neutral,0.725
1002_ITH_SAD_XX.flv,neutral,0.688
1001_WSI_ANG_XX.flv,fear,0.483
1002_ITS_ANG_XX.flv,neutral,0.798
1002_ITH_HAP_XX.flv,neutral,0.517
1002_DFA_FEA_XX.flv,neutral,0.662
1002_IEO_FEA_LO.flv,neutral,0.51
1001_IWL_SAD_XX.flv,sad,0.41
1001_IWL_NEU_XX.flv,sad,0.567
1002_IEO_SAD_HI.flv,neutral,0.887
1002_DFA_ANG_XX.flv,neutral,0.748
1001_WSI_DIS_XX.flv,fear,0.35
1002_ITH_NEU_XX.flv,neutral,0.557
1001_TAI_SAD_XX.flv,fear,0.432
1001_WSI_NEU_XX.flv,sad,0.573
1002_IEO_NEU_XX.flv,neutral,0.947
1002_IOM_SAD_XX.flv,neutral,0.668
1001_TAI_DIS_XX.flv,angry,0.392
1002_IEO_HAP_HI.flv,happy,0.675
1002_DFA_DIS_XX.flv,neutral,0.652
1002_IEO_DIS_MD.flv,neutral,0.742
1002_IWL_ANG_XX.flv,neutral,0.772
1001_TSI_SAD_XX.flv,sad,0.403
1001_TAI_NEU_XX.flv,sad,0.49
1002_IOM_HAP_XX.flv,neutral,0.492
1002_IEO_ANG_LO.flv,neutral,0.883
1002_DFA_NEU_XX.flv,neutral,0.782
1002_ITS_HAP_XX.flv,neutral,0.672
1001_TAI_HAP_XX.flv,happy,0.512
1002_ITS_FEA_XX.flv,surprise,0.582
1002_ITS_SAD_XX.flv,neutral,0.928
1001_IWL_DIS_XX.flv,sad,0.368
1001_ITS_NEU_XX.flv,sad,0.518
1001_ITS_SAD_XX.flv,fear,0.39
1001_TSI_ANG_XX.flv,angry,0.385
1001_TIE_NEU_XX.flv,sad,0.518
1001_TSI_NEU_XX.flv,sad,0.547
1001_WSI_FEA_XX.flv,fear,0.448
1001_MTI_FEA_XX.flv,fear,0.365
1002_IOM_NEU_XX.flv,neutral,0.563
1002_DFA_HAP_XX.flv,neutral,0.648
1001_TIE_FEA_XX.flv,fear,0.373
1002_IEO_SAD_MD.flv,neutral,0.812
1001_MTI_HAP_XX.flv,sad,0.308
1001_TAI_FEA_XX.flv,fear,0.475
1002_IEO_HAP_MD.flv,neutral,0.468
1001_IWL_FEA_XX.flv,fear,0.385
1002_ITS_NEU_XX.flv,neutral,0.722
1002_DFA_SAD_XX.flv,neutral,0.9
1001_WSI_SAD_XX.flv,fear,0.365
1001_IWW_NEU_XX.flv,fear,0.408
1001_ITS_FEA_XX.flv,fear,0.51
1001_ITS_HAP_XX.flv,sad,0.277
1001_IWW_FEA_XX.flv,fear,0.413
1002_IEO_SAD_LO.flv,neutral,0.887
1001_TSI_HAP_XX.flv,happy,0.485
1001_WSI_HAP_XX.flv,sad,0.303
1001_TAI_ANG_XX.flv,fear,0.398
1001_IWL_HAP_XX.flv,sad,0.418
1001_MTI_SAD_XX.flv,sad,0.52
1001_IWW_ANG_XX.flv,fear,0.328
1001_MTI_NEU_XX.flv,sad,0.478
1001_TIE_DIS_XX.flv,angry,0.35
1001_IWW_HAP_XX.flv,happy,0.497
1001_TSI_DIS_XX.flv,angry,0.402
1001_TIE_HAP_XX.flv,sad,0.545
1001_IWW_DIS_XX.flv,fear,0.342
1001_TSI_FEA_XX.flv,fear,0.547
1002_IEO_FEA_MD.flv,surprise,0.487
1001_IWW_SAD_XX.flv,fear,0.373
1001_ITS_DIS_XX.flv,angry,0.405
